strategy,model,horizon,seq_length,rmse,mae,r2,n_train,n_test,category
direct,RF_default,1,12,0.1635206589718714,0.08808390475659168,0.844355557082799,7734,2443,ML
direct,RF_tuned,1,12,0.16271102544185737,0.08795444541124671,0.8458930141115593,7734,2443,ML
direct,XGB_default,1,12,0.1686673617492143,0.0922973373128655,0.8344037621685814,7734,2443,ML
direct,XGB_tuned,1,12,0.16264693793274945,0.08725362245020758,0.8460143874213714,7734,2443,ML
direct,LSTM_small,1,12,0.15813344883142236,0.0847158934250503,0.854442077704064,7734,2443,DL
direct,LSTM_medium,1,12,0.16192673578619587,0.0944648826104755,0.8473750676199507,7734,2443,DL
direct,LSTM_large,1,12,0.16669965588087463,0.09580138603328486,0.8382449796063112,7734,2443,DL
direct,GRU_small,1,12,0.15697201363843044,0.08726414775982315,0.8565723703867036,7734,2443,DL
direct,GRU_medium,1,12,0.5801961925996567,0.48282585962871966,-0.9594677101110161,7734,2443,DL
direct,Naive,3,4,0.2459052369321449,0.14496781948204543,0.648015193270602,8412,2443,Baseline
direct,MovingAvg,3,4,0.22745995486833556,0.1421066945892886,0.6988393267032171,8412,2443,Baseline
direct,RF_default,3,4,0.24124221443508279,0.15034421989836746,0.6612377764477897,8412,2443,ML
direct,RF_tuned,3,4,0.2356990172894722,0.14643993570824915,0.6766268882840101,8412,2443,ML
direct,XGB_default,3,4,0.25274580991127404,0.1531004815737085,0.6281598418618164,8412,2443,ML
direct,XGB_tuned,3,4,0.23664014707712325,0.1461470375984861,0.6740393198855718,8412,2443,ML
direct,LSTM_small,3,4,0.22531822395028758,0.15228834923649337,0.7044839992956885,8412,2443,DL
direct,LSTM_medium,3,4,0.23058288083807585,0.15948084085455738,0.6905129482624848,8412,2443,DL
direct,LSTM_large,3,4,0.26751194827328717,0.20193478010225535,0.5834427181770362,8412,2443,DL
direct,GRU_small,3,4,0.22523594826010152,0.1499559243826046,0.7046997771707659,8412,2443,DL
direct,GRU_medium,3,4,0.2247635559919863,0.15067141540924361,0.7059371574157451,8412,2443,DL
direct,Naive,3,6,0.2459052369321449,0.14496781948204543,0.648015193270602,8186,2443,Baseline
direct,MovingAvg,3,6,0.22321909922307062,0.14448596029083244,0.7099645625377315,8186,2443,Baseline
direct,RF_default,3,6,0.2349301908003517,0.1457691708515694,0.6787330687327741,8186,2443,ML
direct,RF_tuned,3,6,0.23242379721173353,0.14368983021166445,0.6855514861690553,8186,2443,ML
direct,XGB_default,3,6,0.2444172266432245,0.14657597344699988,0.6522621328923575,8186,2443,ML
direct,XGB_tuned,3,6,0.2321835474382829,0.1422669771903377,0.6862012229013528,8186,2443,ML
direct,LSTM_small,3,6,0.21664537195968994,0.14519909892175867,0.7267959116579426,8186,2443,DL
direct,LSTM_medium,3,6,0.21712505111462585,0.14669480054636322,0.7255847582815454,8186,2443,DL
direct,LSTM_large,3,6,0.2714951529299991,0.2121885739733938,0.5709454390471433,8186,2443,DL
direct,GRU_small,3,6,0.2124508233887019,0.14014760918250313,0.7372727020142318,8186,2443,DL
direct,GRU_medium,3,6,0.21049950807855872,0.1280180675024613,0.7420767261852556,8186,2443,DL
direct,Naive,3,12,0.2459052369321449,0.14496781948204543,0.648015193270602,7508,2443,Baseline
direct,MovingAvg,3,12,0.22581924325584182,0.16010660764123502,0.7031683149124528,7508,2443,Baseline
direct,RF_default,3,12,0.21683374596902696,0.1392888224041598,0.7263206010308345,7508,2443,ML
