region,period_begin,homes_sold,inventory,median_dom,off_market_in_two_weeks,avg_sale_to_list,sold_above_list,median_sale_price_mom,median_sale_price_yoy,homes_sold_mom,homes_sold_yoy,inventory_mom,inventory_yoy,median_dom_mom,median_dom_yoy,year,state_NC,covid_era,Q_1,Q_2,Q_3,Q_4,log_price,median_sale_price
27013,2013-02-01,-0.8529500092536115,-0.7929424245320835,0.3291167616774288,-0.6825032893981215,-1.2886144827059425,-0.3016247739529347,-0.6209896254983218,-0.23884630019374156,0.7884783097572916,-0.25059602348799825,1.6411069709189656,-0.03962688294753217,3.5551340237855857,0.13070384184276437,2013,1,0,True,False,False,False,11.55214617812351,104000.0
27013,2013-03-01,-0.8329854468210142,-0.7230584310784983,2.527493943244521,-0.6825032893981215,-1.6206174589931241,-0.5097904255064156,-0.6209896254983218,-0.23884630019374156,0.7884783097572916,-0.25059602348799825,1.6411069709189656,-0.03962688294753217,3.5551340237855857,0.13070384184276437,2013,1,0,True,False,False,False,11.289781913656018,80000.0
27013,2013-04-01,-0.8230031656047155,-0.7075286547554794,1.2232328541804625,-0.6825032893981215,-1.552810563907025,0.0730733988433321,0.26064930346777804,-0.23884630019374156,0.23053437033666324,-0.25059602348799825,0.21720807467553496,-0.03962688294753217,-2.1026621521815816,0.13070384184276437,2013,1,0,False,True,False,False,11.429543856031177,92000.0
27013,2013-05-01,-0.8629322904699103,-0.7230584310784983,1.3872908528048724,-0.6825032893981215,-1.1074907670920966,0.9473691353679533,-0.5900141690568251,-0.23884630019374156,-1.4027197068764479,-0.25059602348799825,-0.3160800489433463,-0.03962688294753217,0.2691072049568795,0.13070384184276437,2013,1,0,False,True,False,False,11.184421397998193,72000.0
27013,2013-06-01,-0.8828968529025076,-0.7308233192400078,1.0673777554872732,-0.17422041999714827,-1.6571366609848028,0.40093430004006503,0.5163097504617358,-0.23884630019374156,-1.1896865663703897,-0.25059602348799825,-0.19452172664786554,-0.03962688294753217,-0.512649175328982,0.13070384184276437,2013,1,0,False,True,False,False,11.415863752127096,90750.0
27013,2013-07-01,-0.8629322904699103,-0.7385882074015173,2.043522847302512,-0.6825032893981215,-1.243103828504024,-0.14550053528782375,-0.11855577556021554,-0.23884630019374156,1.4732276899553347,-0.25059602348799825,-0.19881057874498478,-0.03962688294753217,1.5808679108602743,0.13070384184276437,2013,1,0,False,False,True,False,11.401993904262946,89500.0
27013,2013-08-01,-0.8329854468210142,-0.7851775363705741,0.44395736071451575,-0.6825032893981215,-0.7202969102257392,0.21878935493076884,0.547165786280022,-0.23884630019374156,1.4732276899553347,-0.25059602348799825,-0.9338644881640815,-0.03962688294753217,-2.579666045237362,0.13070384184276437,2013,1,0,False,False,True,False,11.643953727376633,114000.0
27013,2013-09-01,-0.8030386031721181,-0.7696477600475552,0.3783341612647518,-0.6825032893981215,-0.2349923409989513,-0.14550053528782375,0.05551162603866407,-0.23884630019374156,0.9406448386901894,-0.25059602348799825,0.3050437656245278,-0.03962688294753217,-0.10189582297539375,0.13070384184276437,2013,1,0,False,False,True,False,11.703545824578878,121000.0
27013,2013-10-01,-0.7830740407395207,-0.7851775363705741,0.6900443586511306,-0.6825032893981215,-1.0254979167899552,-0.7699974899482673,0.7744418874157162,-0.23884630019374156,0.408061987425045,-0.25059602348799825,-0.39276200135913303,-0.03962688294753217,0.5076091514847695,0.13070384184276437,2013,1,0,False,False,False,True,12.01974306733868,166000.0
27013,2013-11-01,-0.8230031656047155,-0.7851775363705741,0.8787110570692018,-0.17422041999714827,-1.159796818851768,-1.2383702059436001,0.3457338441359198,-0.23884630019374156,-1.037520037437491,-0.25059602348799825,-0.05727845954006552,-0.03962688294753217,0.3088575293781945,0.13070384184276437,2013,1,0,False,False,False,True,12.190959007720126,197000.0
27013,2013-12-01,-0.8429677280373129,-0.7774126482090646,0.796682057756997,-0.6825032893981215,-2.1264389121722003,-1.2383702059436001,-0.7330987648018101,-0.23884630019374156,-0.7636202853582735,-0.25059602348799825,0.12388265304223113,-0.03962688294753217,-0.1283960392562704,0.13070384184276437,2013,1,0,False,False,False,True,11.863582336583399,142000.0
27013,2014-01-01,-0.8629322904699103,-0.7696477600475552,-0.19586883392068272,-0.6825032893981215,-0.3489909622266752,-0.14550053528782375,-0.41277784258699374,-0.23884630019374156,-0.9233951407378173,-0.25059602348799825,0.1169149179429122,-0.03962688294753217,-1.599158042844925,0.13070384184276437,2014,1,0,True,False,False,False,11.711776323715394,122000.0
27013,2014-02-01,-0.8230031656047155,-0.7541179837245362,0.017406564291050093,-0.6825032893981215,-1.0642947776987135,-0.582648403550134,-0.11038652000752282,0.03702935659784545,2.00581054122048,0.46011743720713993,0.2782050822790025,0.3788958681498325,0.3486078537995095,-0.21832011927511868,2014,1,0,True,False,False,False,11.701477571514818,120750.0
27013,2014-03-01,-0.8130208843884168,-0.7618828718860456,-0.03181083529627286,-0.6825032893981215,-0.6138378460777625,-0.6422594764949946,0.3303993937762198,1.0993565126012703,0.19502884691898695,0.11792206724281419,-0.21345183245583824,-0.3440070655637975,-0.07539560669451709,-2.7349665757566965,2014,1,0,True,False,False,False,11.867097278690842,142500.0
27013,2014-04-01,-0.8230031656047155,-0.7463530955630268,0.16505876305301898,-0.6825032893981215,-0.5719909768440222,-0.582648403550134,-0.4441306377985833,0.29178020644497604,-0.4150206008938154,-0.25059602348799825,0.26622352721403547,-0.32661391227143965,0.3221076375186328,-1.0541406577416281,2014,1,0,False,True,False,False,11.699405031912846,120500.0
